Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,systematic,0.9,30,0.155,6.256667,0.0,0.019807,0.272865,0.650304,0.715556,0.31,0.675,0.47098
mixed_CS=T,systematic,0.9,50,0.155,3.403333,0.0,0.009945,0.344656,0.160348,0.647778,0.43,0.626,0.527773
Unlu_CS=T,systematic,0.9,50,0.155,13.715719,0.003333,0.045096,0.260496,0.622888,0.738889,0.21,0.686,0.393912
mixed_CS=T,systematic,0.9,80,0.155,3.106667,0.0,0.009008,0.400579,0.160358,0.598889,0.71,0.61,0.652082
Unlu_CS=T,systematic,0.9,80,0.155,13.883333,0.0,0.069862,0.330138,0.680372,0.674444,0.32,0.639,0.464567
mixed_CS=T,systematic,0.9,30,0.23,2.286667,0.0,0.008567,0.410606,0.162805,0.63,0.69,0.636,0.659318
Unlu_CS=T,systematic,0.9,30,0.23,30.922807,0.05,0.024022,0.124325,0.602325,0.873333,0.14,0.8,0.349667
mixed_CS=T,systematic,0.9,50,0.23,3.393333,0.0,0.00876,0.40843,0.160506,0.656667,0.68,0.659,0.668231
Unlu_CS=T,systematic,0.9,50,0.23,12.79,0.0,0.030083,0.241846,0.615173,0.79,0.25,0.736,0.44441
mixed_CS=T,systematic,0.9,80,0.23,5.94,0.0,0.008264,0.388264,0.141222,0.746667,0.72,0.744,0.733212
Unlu_CS=T,systematic,0.9,80,0.23,29.713287,0.046667,0.029725,0.153829,0.551265,0.892222,0.15,0.818,0.365832
mixed_CS=T,systematic,0.9,30,0.305,3.68,0.0,0.008733,0.377576,0.138321,0.722222,0.7,0.72,0.711024
Unlu_CS=T,systematic,0.9,30,0.305,29.748276,0.033333,0.030331,0.14876,0.580644,0.91,0.07,0.826,0.252389
mixed_CS=T,systematic,0.9,50,0.305,5.046667,0.0,0.008347,0.401598,0.134829,0.748889,0.74,0.748,0.744431
Unlu_CS=T,systematic,0.9,50,0.305,36.526882,0.07,0.03708,0.170275,0.553205,0.913333,0.14,0.836,0.357585
mixed_CS=T,systematic,0.9,80,0.305,6.87,0.0,0.008264,0.415923,0.114433,0.786667,0.79,0.787,0.788332
Unlu_CS=T,systematic,0.9,80,0.305,56.639098,0.556667,0.03124,0.067383,0.50147,0.978889,0.06,0.887,0.24235
mixed_CS=T,systematic,0.9,30,0.38,4.096667,0.0,0.009229,0.409587,0.151573,0.75,0.66,0.741,0.703562
Unlu_CS=T,systematic,0.9,30,0.38,23.813559,0.016667,0.057686,0.285592,0.496137,0.926667,0.17,0.851,0.396905
mixed_CS=T,systematic,0.9,50,0.38,8.48,0.0,0.008264,0.416694,0.117425,0.783333,0.77,0.782,0.776638
Unlu_CS=T,systematic,0.9,50,0.38,42.42446,0.073333,0.053554,0.24449,0.45253,0.922222,0.12,0.842,0.332666
mixed_CS=T,systematic,0.9,80,0.38,12.866667,0.0,0.008264,0.398237,0.091865,0.876667,0.84,0.873,0.858137
Unlu_CS=T,systematic,0.9,80,0.38,43.99661,0.016667,0.033829,0.459118,0.249049,0.968889,0.48,0.92,0.681958
mixed_CS=T,systematic,0.9,30,0.455,5.693333,0.0,0.008292,0.396667,0.110908,0.823333,0.7,0.811,0.759166
Unlu_CS=T,systematic,0.9,30,0.455,24.240678,0.016667,0.067493,0.34416,0.444342,0.915556,0.28,0.852,0.506316
mixed_CS=T,systematic,0.9,50,0.455,6.956667,0.0,0.008264,0.427713,0.10501,0.828889,0.84,0.83,0.834426
Unlu_CS=T,systematic,0.9,50,0.455,27.446667,0.0,0.00843,0.488678,0.232025,0.968889,0.55,0.927,0.729992
mixed_CS=T,systematic,0.9,80,0.455,12.633333,0.0,0.008264,0.428843,0.078451,0.873333,0.81,0.867,0.841071
Unlu_CS=T,systematic,0.9,80,0.455,56.345833,0.2,0.041212,0.224711,0.303309,0.983333,0.11,0.896,0.328887
mixed_CS=T,systematic,0.9,30,0.53,4.043333,0.0,0.008292,0.44303,0.119026,0.751111,0.83,0.759,0.789571
Unlu_CS=T,systematic,0.9,30,0.53,26.749164,0.003333,0.078953,0.385647,0.419906,0.928889,0.26,0.862,0.491438
mixed_CS=T,systematic,0.9,50,0.53,7.7,0.0,0.008264,0.4473,0.080262,0.878889,0.81,0.872,0.843742
Unlu_CS=T,systematic,0.9,50,0.53,33.914676,0.023333,0.067713,0.395482,0.324283,0.967778,0.25,0.896,0.491878
mixed_CS=T,systematic,0.9,80,0.53,13.616667,0.0,0.008264,0.432672,0.05558,0.92,0.89,0.917,0.904876
Unlu_CS=T,systematic,0.9,80,0.53,51.18,0.0,0.132645,0.532948,0.244818,0.995556,0.45,0.941,0.669328
mixed_CS=T,systematic,0.9,30,0.605,5.333333,0.0,0.009642,0.561212,0.098247,0.843333,0.74,0.833,0.789979
Unlu_CS=T,systematic,0.9,30,0.605,22.916667,0.0,0.077383,0.459477,0.314524,0.958889,0.29,0.892,0.527331
mixed_CS=T,systematic,0.9,50,0.605,6.92,0.0,0.008264,0.460964,0.080379,0.852222,0.89,0.856,0.870906
Unlu_CS=T,systematic,0.9,50,0.605,26.483333,0.0,0.370992,0.726694,0.179911,0.987778,0.56,0.945,0.743744
mixed_CS=T,systematic,0.9,80,0.605,11.166667,0.0,0.008264,0.450606,0.048934,0.925556,0.9,0.923,0.912688
Unlu_CS=T,systematic,0.9,80,0.605,35.823333,0.0,0.070799,0.647686,0.223939,0.993333,0.44,0.938,0.66111
mixed_CS=T,systematic,0.9,30,0.68,5.593333,0.0,0.008264,0.455923,0.087002,0.885556,0.91,0.888,0.897695
Unlu_CS=T,systematic,0.9,30,0.68,25.676667,0.0,0.061129,0.41741,0.326052,0.978889,0.17,0.898,0.407935
mixed_CS=T,systematic,0.9,50,0.68,7.886667,0.0,0.008264,0.456997,0.04725,0.926667,0.95,0.929,0.938261
